id;railway;name;customhouse;x_coord;y_coord
2241;КАЗАХСТАНСКАЯ;КАРАМУРЫН;РЕСПУБЛИКА КАЗАХСТАН , КАРАГАНДИНСКАЯ ОБЛАСТЬ, Г.КАРАГАНДЫ, УЛ.Б.ХМЕЛЬНИЦКО;49.823466;73.113099
2242;ЗАПАДНО-СИБИРСКАЯ;КУРУНДУС;630052  Г.НОВОСИБИРСК, УЛ.ТОЛМАЧЕВСКАЯ, Д. 1/1;54.964173;82.828388
2243;БЕЛОРУССКАЯ;МОСТЫ;Гродненская область, Берестовицкий район, Пограничный сельсовет, 19;53.115768;23.979826
2244;ЗАПАДНО-СИБИРСКАЯ;НОВОКУЗНЕЦК-ВОСТОЧНЫЙ;654010 КЕМЕРОВСКАЯ ОБЛ., Г.НОВОКУЗНЕЦК, ПЛОЩАДЬ ПОБЕДЫ, 4, КАБ.58;53.757553;87.136053
2245;ГОРЬКОВСКАЯ;ПАРАТСК;420030 РЕСПУБЛИКА ТАТАРСТАН, Г. КАЗАНЬ, СТ. ЛАГЕРНАЯ, УЛ. БОЕВАЯ;55.800433;49.021865
2246;МОСКОВСКАЯ;ПОЧЕП;243550 БРЯНСКАЯ ОБЛ., РАБ. ПОС. ПОГАР, УЛ.СТРОИТЕЛЬНАЯ, Д.2А;52.545492;33.235806
2247;ЗАБАЙКАЛЬСКАЯ;ГОНЖА;676680 АМУРСКАЯ ОБЛ., МИХАЙЛОВСКИЙ Р-Н, П.ПОЯРКОВО, УЛ.ГАГАРИНА, 2, РЕЧН.П.;49.617444;128.684644
2248;ОКТЯБРЬСКАЯ;ВЯРТСИЛЯ;186757 РЕСПУБЛИКА КАРЕЛИЯ, Г. СОРТАВАЛА, СТ. ВЯРТСИЛЯ;61.702943;30.691633
2249;СЕВЕРО-КАВКАЗСКАЯ;КРИВЕНКОВСКАЯ;352800 КРАСНОДАРСКИЙ КРАЙ, Г.ТУАПСЕ, УЛ.ГАГАРИНА, Д.25;44.092034;39.080991
2250;СЕВЕРО-КАВКАЗСКАЯ;КАГАЛЬНИК;346882 РОСТОВСКАЯ ОБЛ., Г. БАТАЙСК, Ш. САМАРСКОЕ, Д. 21А;47.06696;39.747846
2251;ЮГО-ВОСТОЧНАЯ;САЛОВКА;440015  Г. ПЕНЗА, УЛ. АУСТРИНА, Д.160;53.248783;45.01466
2252;КАЗАХСТАНСКАЯ;САРЫ-ШАГАН;РЕСПУБЛИКА КАЗАХСТАН , КАРАГАНДИНСКАЯ ОБЛАСТЬ, Г.КАРАГАНДЫ, УЛ.Б.ХМЕЛЬНИЦКО;49.823466;73.113099
2253;КУЙБЫШЕВСКАЯ;ПАШКОВО;440015  Г. ПЕНЗА, УЛ. АУСТРИНА, Д.160;53.248783;45.01466
2254;ЗАПАДНО-СИБИРСКАЯ;РЕБРИХА;656037 АЛТАЙСКИЙ КРАЙ, Г.БАРНАУЛ, ПРОСП. КАЛИНИНА, Д. 57;53.378268;83.751093
2255;ПРИВОЛЖСКАЯ;ОРЛОВКА;400122 ВОЛГОГРАДСКАЯ ОБЛ., Г.ВОЛГОГРАД, ДЗЕРЖИНСКИЙ Р-Н, РП ГУМРАК, УЛ. ИМ.;48.753836;44.481276
2256;КУЙБЫШЕВСКАЯ;МИННИБАЕВО;423458, РЕСПУБЛИКА ТАТАРСТАН, Г. АЛЬМЕТЬЕВСК, УЛ. РИЗЫ ФАХРЕТДИНА, Д. 51/12;54.896636;52.318502
2257;МОСКОВСКАЯ;БРЯНСК-ЛЬГОВСКИЙ;241020  Г.БРЯНСК, УЛ.2-Я АЛЛЕЯ, Д.12;53.211034;34.411638
2258;ДАЛЬНЕВОСТОЧНАЯ;ХУРМУЛИ;681000 ХАБАРОВСКИЙ КРАЙ, Г. КОМСОМОЛЬСК-НА-АМУРЕ, ПРОСПЕКТ ОКТЯБРЬСКИЙ, Д.;50.538423;137.015503
2259;БЕЛОРУССКАЯ;ЦЕНТРОЛИТ;Г. ГОМЕЛЬ, УЛ. БОРИСЕНКО, 5;52.413944;30.920821
2260;КУЙБЫШЕВСКАЯ;БАРЫШ;432072 Г. УЛЬЯНОВСК, ЗАВОЛЖСКИЙ РАЙОН, 42-Й ПРОЕЗД ИНЖЕНЕРНЫЙ, ЗД. 14, СТР.;54.368223;48.666428
2261;ОКТЯБРЬСКАЯ;ЛЕДМОЗЕРО;186930 РЕСПУБЛИКА КАРЕЛИЯ, Г. КОСТОМУКША, Ш. ГОРНЯКОВ, СТР. 270 А;64.620563;30.678626
2262;ДАЛЬНЕВОСТОЧНАЯ;КРАСНАЯ РЕЧКА;680031 ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, МАТВЕЕВСКОЕ Ш.,  Д. 41, ЛИТ. А;48.52863;135.169429
2263;ДАЛЬНЕВОСТОЧНАЯ;НОВОЧУГУЕВКА;692335 ПРИМОРСКИЙ КРАЙ, Г.АРСЕНЬЕВ, ПЛ.ЛЕНИНА, Д.5;44.153185;133.260168
2264;ЗАБАЙКАЛЬСКАЯ;ХИЛОК;673005 ЗАБАЙКАЛЬСКИЙ КРАЙ, Г.ПЕТРОВСК-ЗАБАЙКАЛЬСКИЙ, УЛ. СПОРТИВНАЯ, Д. 18;51.252605;108.820539
2265;МОСКОВСКАЯ;УДОБРИТЕЛЬНАЯ;305025 Г. КУРСК, УЛ. ЭКСПЕДИЦИОННАЯ, Д.3;51.637025;36.114637
2266;КАЗАХСТАНСКАЯ;АЯГОЗ;РЕСПУБЛИКА КАЗАХСТАН , 070003 ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, Г. УСТЬ-КАМЕН;49.948313;82.627857
2267;БЕЛОРУССКАЯ;БЫХОВ;г. Могилев, ул. Крупской, 230;53.964904;30.350678
2268;ГОРЬКОВСКАЯ;УСТА;606016 НИЖЕГОРОДСКАЯ ОБЛ., Г. ДЗЕРЖИНСК, НИЖЕГОРОДСКОЕ Ш., 85, КОРП. 1;56.292098;43.596238
2269;ЮГО-ВОСТОЧНАЯ;ТАЩИЛОВКА;440015  Г. ПЕНЗА, УЛ. АУСТРИНА, Д.160;53.248783;45.01466
2270;КРАСНОЯРСКАЯ;АБАЗА (ЭКСП.);655001 РЕСПУБЛИКА ХАКАСИЯ, Г.АБАКАН, ПРОСП. ДРУЖБЫ НАРОДОВ, Д. 3А;53.736659;91.434698
2271;СЕВЕРО-КАВКАЗСКАЯ;СВЕТЛОГРАД;355035 СТАВРОПОЛЬСКИЙ КРАЙ, Г.СТАВРОПОЛЬ, УЛ.ЛЕНИНА, Д. 427;45.038642;41.916092
2272;ЮЖНО-УРАЛЬСКАЯ;ТОЦКАЯ;461040 ОРЕНБУРГСКАЯ ОБЛ., Г.БУЗУЛУК, УЛ. 1 МАЯ, Д. 100;52.796459;52.255988
2273;ЮГО-ВОСТОЧНАЯ;СЕРДОБСК;440015  Г. ПЕНЗА, УЛ. АУСТРИНА, Д.160;53.248783;45.01466
2274;ЗАПАДНО-СИБИРСКАЯ;АЛЕЙСКАЯ;656037 АЛТАЙСКИЙ КРАЙ, Г.БАРНАУЛ, ПРОСП. КАЛИНИНА, Д. 57;53.378268;83.751093
2275;ЮГО-ВОСТОЧНАЯ;КАНТЕМИРОВКА;396659 ВОРОНЕЖСКАЯ ОБЛ., Г.РОССОШЬ, ПЛ.ОКТЯБРЬСКАЯ, Д.158;50.209759;39.49851
2276;МОСКОВСКАЯ;СБОРНАЯ-УГОЛЬНАЯ;301670 ТУЛЬСКАЯ ОБЛ., Г.НОВОМОСКОВСК, УЛ.СВЯЗИ, 10;54.0875;38.218959
2277;КАЗАХСТАНСКАЯ;ЕЛЬТАЙ;РЕСПУБЛИКА КАЗАХСТАН Г. КОКШЕТАУ, УЛ. ПУШКИНА, 21;53.284415;69.405761
2278;ЮГО-ВОСТОЧНАЯ;ГОТНЯ;309300 БЕЛГОРОД.ОБЛ., РАКИТЯНСКИЙ Р-Н, ПОС.ПРОЛЕТАРСКИЙ, ПЕР.ПОЧТОВЫЙ, 2А;50.792335;35.771606
2279;ГП"КРЫМСКАЯ Ж.Д."(РФ);КЕРЧЬ-ЮЖНАЯ-ПАРОМ-ЭКСПОР;298312 РЕСПУБЛИКА КРЫМ, Г. КЕРЧЬ, УЛ. ФУРМАНОВА, 9. 298320 РЕСПУБЛИКА КРЫМ,;45.366136;36.482668
2280;ВОСТОЧНО-СИБИРСКАЯ;МАКАРЬЕВО-ПЕРЕВАЛКА;ИРКУТСКАЯ ОБЛ., Г.УСОЛЬЕ-СИБИРСКОЕ, УЛ.МАШИНОСТРОИТЕЛЕЙ, 14;52.745196;103.660149
2281;КРАСНОЯРСКАЯ;ГРОМАДСКАЯ;663600 КРАСНОЯРСКИЙ КРАЙ, Г.КАНСК , УЛ. МОСКОВСКАЯ, Д.27, ПОМ.12;56.205305;95.715808
2282;ЮЖНО-УРАЛЬСКАЯ;ЮРГАМЫШ;640014 Г. КУРГАН, УЛ. БУРОВА-ПЕТРОВА, Д. 132;55.484571;65.330814
2283;ГОРЬКОВСКАЯ;ЛАТЫШСКИЙ;610025 Г.КИРОВ, ПЕР. АВТОТРАНСПОРТНЫЙ, Д. 4;58.575768;49.665319
2284;СВЕРДЛОВСКАЯ;КУТЬ-ЯХ;628418 ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА (ТЮМЕНСКАЯ ОБЛ.), Г. СУРГУТ;61.254035;73.39623
2285;ЮЖНО-УРАЛЬСКАЯ;ДОНГУЗСКАЯ;460027 Г. ОРЕНБУРГ, УЛ.ДОНГУЗСКАЯ, Д. 62А;51.694948;55.098527
2286;СЕВЕРНАЯ;БАЛАКИРЕВО;601655 ВЛАДИМИРСКАЯ ОБЛ., Г.АЛЕКСАНДРОВ, ЮЖНЫЙ ПР-Д, Д.10;56.374527;38.70077
2287;КУЙБЫШЕВСКАЯ;БУХТА;443109 Г.САМАРА, УЛ. ТОВАРНАЯ, Д.5;53.230692;50.292567
2288;СЕВЕРНАЯ;НИЗОВКА;165650 АРХАНГЕЛЬСКАЯ ОБЛ., Г. КОРЯЖМА, ДОРОГА МАГИСТРАЛЬНОЕ Ш., Д. 36, СТР.;61.287931;47.11581
2289;ЗАБАЙКАЛЬСКАЯ;ХУШЕНГА;673005 ЗАБАЙКАЛЬСКИЙ КРАЙ, Г.ПЕТРОВСК-ЗАБАЙКАЛЬСКИЙ, УЛ. СПОРТИВНАЯ, Д. 18;51.252605;108.820539
2290;ЮГО-ВОСТОЧНАЯ;ГУБКИН;309191 БЕЛГОРОДСКАЯ ОБЛ., Г. ГУБКИН-11;50.872237;37.303207
2291;КАЗАХСТАНСКАЯ;СЕМИГЛАВЫЙ МАР;РЕСПУБЛИКА КАЗАХСТАН , 090014 ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, Г.УРАЛЬСК, УЛ.;51.204025;51.370537
2292;СВЕРДЛОВСКАЯ;КОРОТЧАЕВО;629300  ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ (ТЮМЕНСКАЯ ОБЛ.), Г. НОВЫЙ УРЕНГОЙ,;66.084539;76.680956
2293;КАЗАХСТАНСКАЯ;ДЖАМБУЛ;РЕСПУБЛИКА КАЗАХСТАН , 080000 ЖАМБЫЛСКАЯ ОБЛАСТЬ, Г.ТАРАЗ, УЛ.НИЕТКАЛИЕВА 9;42.903719;71.362094
2294;ДАЛЬНЕВОСТОЧНАЯ;ВЯЗЕМСКАЯ;680031 ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, МАТВЕЕВСКОЕ Ш.,  Д. 41, ЛИТ. А;48.52863;135.169429
2295;ВОСТОЧНО-СИБИРСКАЯ;БАРАТЫ;670013 РЕСПУБЛИКА БУРЯТИЯ, Г.УЛАН-УДЭ, УЛ. БОГРАДА, Д. 73;51.828587;107.749298
2296;ЮЖНО-УРАЛЬСКАЯ;УСТЬ-КАТАВ;456014 ЧЕЛЯБИНСКАЯ ОБЛ., АШИНСКИЙ РАЙОН, Г.АША, УЛ.МИРА, Д. 13;54.993629;57.272792
2297;МОСКОВСКАЯ;АЛПАТЬЕВО;140412 МОСКОВСКАЯ ОБЛ., Г.КОЛОМНА, ПР-Д АВТОМОБИЛИСТОВ, Д. 8;55.11613;38.730971
2298;СЕВЕРО-КАВКАЗСКАЯ;БЕЛАЯ КАЛИТВА;347045 РОСТОВСКАЯ ОБЛ., Г.БЕЛАЯ КАЛИТВА, УЛ.ЗАВОДСКАЯ, Д.1;48.170464;40.788221
2299;КАЛИНИНГРАДСКАЯ;БАЛТИЙСК ПАРОМ;238520 КАЛИНИНГРАДСКАЯ ОБЛ., Г. БАЛТИЙСК, НИЖНЕЕ Ш., Д. 17;54.6377;19.923905
2300;КУЙБЫШЕВСКАЯ;ЦАРЕВЩИНА;443109 Г.САМАРА, УЛ. ТОВАРНАЯ, Д.5;53.230692;50.292567
2301;КУЙБЫШЕВСКАЯ;БИКЛЯНЬ;423550 РФ, ТАТАРСТАН, Г.НИЖНЕКАМСК, УЛ.ПИОНЕРСКАЯ, Д.4;55.637576;51.819712
2302;СЕВЕРО-КАВКАЗСКАЯ;ТАГАНРОГ;347913 РОСТОВСКАЯ ОБЛ., Г. ТАГАНРОГ, УЛ. МЕНДЕЛЕЕВА, Д.24;47.24999;38.882769
2303;ЮЖНО-УРАЛЬСКАЯ;АЙДЫРЛЯ;462428 ОРЕНБУРГСКАЯ ОБЛ., Г.ОРСК, УЛ.МОЛОДЕЖНАЯ, Д. 6А;51.227077;58.490323
2304;ОКТЯБРЬСКАЯ;ОНЕЖСКИЙ;185035 РЕСПУБЛИКА КАРЕЛИЯ, Г. ПЕТРОЗАВОДСК, УЛ. ФРИДРИХА ЭНГЕЛЬСА, Д. 25, Б;61.790963;34.356221
2305;КУЙБЫШЕВСКАЯ;БАЗАРНАЯ;432072 Г. УЛЬЯНОВСК, ЗАВОЛЖСКИЙ РАЙОН, 42-Й ПРОЕЗД ИНЖЕНЕРНЫЙ, ЗД. 14, СТР.;54.368223;48.666428
2306;ЮГО-ВОСТОЧНАЯ;РАЙ;309600 БЕЛГОРОДСКАЯ ОБЛ., Г.НОВЫЙ ОСКОЛ, ПЕР.КООПЕРАТИВНЫЙ, 1/1;50.743668;37.876602
2307;МОСКОВСКАЯ;КАРАЧЕВ;241902 Г. БРЯНСК, ФОКИНСКИЙ Р-Н, ПОС. БЕЛЫЕ БЕРЕГА;53.20727;34.662897
2308;КАЗАХСТАНСКАЯ;ДОСТЫК (ЭКСП.ПЕРЕВ.);РЕСПУБЛИКА КАЗАХСТАН , АЛМАТИНСКАЯ ОБЛАСТЬ, АЛАКОЛЬСКИЙ Р-H, С. ДРУЖБА, УЛ.;45.252122;82.49258
2309;КАЗАХСТАНСКАЯ;РАЗ'ЕЗД N 6-Г;РЕСПУБЛИКА КАЗАХСТАН , 130100 МАНГИСТАУСКАЯ ОБЛАСТЬ, МАНГИСТАУСКАЯ ОБЛАСТЬ,;44.122553;53.72203
2310;ЮЖНО-УРАЛЬСКАЯ;ВЯЗОВАЯ;456910 ЧЕЛЯБИНСКАЯ ОБЛ., Г.САТКА, УЛ.ПРОЛЕТАРСКАЯ, Д. 40;55.038047;58.972494
2311;МОСКОВСКАЯ;СМОЛЕНСК-СОРТИРОВОЧНЫЙ;214530 СМОЛЕНСКАЯ ОБЛ., СМОЛЕНСКИЙ Р-Н, Д. НИКОЛЬСКОЕ, УЛ. ДОРОЖНАЯ, Д. 3;54.872041;32.069344
2312;СЕВЕРО-КАВКАЗСКАЯ;БЕСЛАН;362042 РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ, Г.ВЛАДИКАВКАЗ, УЛ.ИРИСТОНСКАЯ, Д.;43.058306;44.665538
2313;МОСКОВСКАЯ;ДЕДИЛОВО;300041 Г.ТУЛА, УЛ.ПУТЕЙСКАЯ, Д.23;54.195919;37.577256
